1,177,70,10,414.1
0,4232,2111,0,-1
0,0,0,0,-1
1,248,155,13,77.15384615384616
0,2197,793,100,489.83
1,211,78,9,440.8888888888889
0,216,84,11,249.27272727272728
1,5,2,0,-1
1,190,103,32,138.65625
0,174,76,18,173.0
1,330,122,0,-1
1,194,120,69,64.14492753623189
1,172,64,5,855.8
1,66,60,49,62.0
1,126,39,4,1077.75
0,192,68,6,520.8333333333334
0,138,53,2,487.0
1,60,5,0,-1
0,76,49,30,51.03333333333333
0,41,26,9,329.0
1,31,9,1,2332.0
1,208,90,17,252.0
1,353,176,3,439.3333333333333
1,212,140,38,88.57894736842105
0,1274,434,69,577.463768115942
0,83,30,4,670.0
0,1781,676,79,554.9873417721519
1,113,82,64,69.171875
1,189,67,13,339.6923076923077
0,179,41,0,-1
0,0,0,0,-1
1,159,65,15,248.6
0,18,12,3,101.66666666666667
1,236,81,11,303.1818181818182
1,90,23,1,3449.0
0,191,90,37,91.91891891891892
0,51,16,1,1085.0
1,29,23,21,28.857142857142858
1,155,48,5,873.8
0,219,74,17,268.5882352941176
0,224,90,12,372.1666666666667
0,1241,316,263,39.893536121673
0,297,59,4,511.75
1,159,60,12,311.1666666666667
0,45,6,0,-1
0,345,75,0,-1
1,198,79,12,334.9166666666667
1,245,109,29,146.68965517241378
0,54,28,10,319.9
1,204,77,11,387.54545454545456
1,320,81,0,-1
1,419,193,0,-1
1,42,12,0,-1
1,236,77,1,3408.0
0,164,52,4,811.0
1,191,64,1,1112.0
0,1858,689,84,455.8095238095238
0,151,83,39,95.43589743589743
0,212,0,0,-1
1,71,34,25,56.88
0,186,61,8,369.25
1,178,64,20,49.65
0,258,2,0,-1
0,268,0,0,-1
0,190,71,7,197.28571428571428
1,201,65,7,365.57142857142856
0,158,43,0,-1
0,209,53,0,-1
1,95,23,1,1804.0
1,314,244,52,19.942307692307693
0,1135,399,34,857.9117647058823
1,215,66,7,137.57142857142858
1,113,40,3,1119.3333333333333
0,3240,1,0,-1
1,227,98,21,188.42857142857142
1,55,13,0,-1
0,39,29,15,141.66666666666666
1,255,91,13,120.6923076923077
0,2024,858,168,241.35714285714286
0,206,94,24,173.0
1,139,47,3,1364.0
1,160,60,1,2909.0
1,249,170,61,68.72131147540983
1,287,162,24,152.625
1,202,84,11,347.3636363636364
1,212,110,32,132.9375
0,152,147,139,24.575539568345324
0,80,37,0,-1
0,33,33,31,134.3548387096774
1,207,67,7,305.14285714285717
1,182,72,11,348.90909090909093
1,12,6,2,331.5
0,29,13,5,95.6
1,258,152,58,50.3448275862069
1,14,0,0,-1
0,325,218,0,-1
1,297,130,3,663.3333333333334
0,220,10,0,-1
1,197,81,5,790.2
1,86,36,29,87.89655172413794
0,1520,460,37,1399.5135135135135
0,177,74,8,389.25
1,188,68,8,447.5
1,218,95,15,293.8666666666667
0,140,20,0,-1
1,239,177,75,30.733333333333334
1,112,33,10,228.5
1,155,55,3,1329.3333333333333
0,2130,719,71,731.4225352112676
1,171,55,5,847.4
0,193,100,11,212.8181818181818
1,16,7,0,-1
1,201,117,61,51.83606557377049
1,222,46,0,-1
0,184,70,14,253.0
0,0,0,0,-1
1,382,235,1,4245.0
0,312,98,1,554.0
1,139,44,8,538.875
0,23,4,0,-1
1,184,52,3,638.0
1,196,106,23,108.34782608695652
1,225,105,16,136.75
1,192,88,15,198.6
0,229,91,11,275.90909090909093
1,301,51,0,-1
0,181,76,13,162.0
1,120,60,41,108.95121951219512
0,82,78,60,46.71666666666667
1,245,77,0,-1
1,135,55,12,295.6666666666667
0,123,72,11,100.54545454545455
1,353,150,21,157.95238095238096
0,121,32,1,3449.0
1,113,35,9,419.77777777777777
0,1354,199,0,-1
1,126,37,1,4319.0
0,86,29,4,985.5
1,189,56,0,-1
0,171,77,10,240.1
1,97,27,1,161.0
1,122,34,2,482.0
0,157,65,7,590.0
1,147,25,3,1458.3333333333333
1,103,26,5,621.4
1,212,90,4,536.0
1,174,57,3,882.6666666666666
1,217,110,19,20.63157894736842
1,136,44,6,649.5
0,385,149,0,-1
0,172,21,0,-1
0,1023,131,10,3278.6
1,194,84,8,513.125
1,22,18,18,226.55555555555554
1,1,0,0,-1
1,17,17,16,260.125
1,291,223,37,96.72972972972973
0,263,111,0,-1
1,168,141,119,37.168067226890756
0,340,203,0,-1
1,229,111,35,107.25714285714285
1,88,39,23,137.7391304347826
1,147,102,69,1.5217391304347827
0,203,88,30,138.53333333333333
1,197,64,9,451.8888888888889
0,150,18,17,206.64705882352942
0,2184,861,127,354.7795275590551
0,96,91,82,46.08536585365854
0,245,85,8,543.5
1,286,65,1,3775.0
1,196,77,5,150.4
1,192,78,14,203.21428571428572
0,2367,892,126,390.9761904761905
1,186,73,11,403.1818181818182
1,189,86,10,83.4
0,203,69,7,442.85714285714283
0,221,116,0,-1
1,229,94,6,683.5
0,238,76,0,-1
0,985,720,557,44.7737881508079
